,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
201,1.156,0.43,0.215,-227.112,107.239,46.326,0,0
202,1.157,0.44,0.202,-302.979,141.663,74.829,0,0
203,1.135,0.41,0.179,-420.898,202.698,124.939,0,0
204,1.058,0.316,0.149,-529.724,263.672,166.443,0,0
205,0.836,0.086,0.09,-627.502,311.157,190.247,0,0
206,0.764,-0.029,0.032,-686.523,336.548,194.641,0,0
207,0.641,-0.15,-0.031,-754.211,340.698,184.448,0,0
208,0.6,-0.606,-0.007,-753.723,330.872,152.71,0,0
209,0.531,-0.816,0.064,-694.946,302.124,106.262,0,0
210,0.215,-1.478,0.444,-544.556,220.642,43.945,0,0
211,-0.007,-1.995,0.666,-367.065,124.817,-0.671,0,0
212,-0.133,-2.256,0.779,-23.437,-48.462,-54.016,0,0
213,0.168,-1.72,0.544,303.772,-175.903,-81.36,0,0
214,0.43,-1.271,0.314,517.212,-213.989,-91.187,0,0
215,0.609,-0.957,0.151,597.595,-212.341,-99.854,0,0
216,0.687,-0.417,0.041,640.198,-205.688,-111.694,0,0
217,0.659,-0.268,0.043,618.286,-199.097,-108.398,0,0
218,0.66,0.015,0.078,544.739,-188.599,-87.585,0,0
219,0.714,0.127,0.16,439.514,-167.297,-58.411,0,0
220,0.785,0.229,0.251,362.793,-147.339,-42.236,0,0
221,0.887,0.284,0.391,252.808,-109.558,-27.527,0,0
222,0.91,0.271,0.454,164.001,-64.27,-21.973,0,0
223,0.886,0.191,0.548,108.826,-23.682,-19.775,0,0
224,0.831,0.135,0.596,92.041,-3.845,-16.052,0,0
225,0.782,0.086,0.624,88.562,15.137,-6.897,0,0
226,0.688,0.084,0.676,94.421,18.311,10.01,0,0
227,0.656,0.081,0.684,105.652,2.014,24.841,0,0
228,0.655,0.107,0.678,114.502,-23.071,32.959,0,0
229,0.663,0.126,0.652,117.31,-37.659,33.691,0,0
230,0.674,0.146,0.606,119.507,-49.622,31.555,0,0
231,0.697,0.128,0.513,126.16,-49.988,28.931,0,0
232,0.719,0.119,0.477,139.954,-42.419,28.137,0,0
233,0.724,0.106,0.438,153.198,-32.104,32.104,0,0
234,0.708,0.103,0.425,160.034,-25.94,36.804,0,0
235,0.681,0.114,0.428,163.147,-18.127,44.556,0,0
236,0.626,0.107,0.43,158.325,-12.512,51.208,0,0
237,0.606,0.092,0.439,150.757,-9.399,55.42,0,0
238,0.583,0.053,0.447,147.095,-7.69,56.458,0,0
239,0.545,-0.023,0.435,142.883,-4.456,57.495,0,0
240,0.541,-0.059,0.419,138.245,1.282,59.937,0,0
241,0.514,-0.139,0.407,131.836,7.751,64.575,0,0
242,0.516,-0.183,0.402,121.521,14.709,67.078,0,0
243,0.526,-0.219,0.413,113.098,18.555,65.918,0,0
244,0.503,-0.261,0.421,95.276,24.78,58.838,0,0
245,0.49,-0.276,0.427,76.355,31.067,47.852,0,0
246,0.472,-0.303,0.435,61.157,38.452,35.645,0,0
247,0.466,-0.321,0.439,54.993,43.701,27.344,0,0
248,0.47,-0.324,0.437,51.331,51.514,20.813,0,0
249,0.619,-0.32,0.426,46.875,62.927,21.179,0,0
250,0.671,-0.316,0.43,37.659,83.252,25.085,0,0
251,0.695,-0.38,0.507,21.667,103.699,34.363,0,0
252,0.685,-0.421,0.584,8.179,115.662,39.795,0,0
253,0.667,-0.47,0.661,-15.869,125.977,43.152,0,0
254,0.763,-0.62,0.827,-36.804,126.77,37.842,0,0
255,0.807,-0.697,0.897,-49.805,123.169,24.902,0,0
256,0.855,-0.745,0.949,-55.237,119.934,12.573,0,0
257,0.906,-0.81,1.012,-59.265,115.723,-10.437,0,0
258,0.952,-0.778,1.039,-62.561,109.009,-40.955,0,0
259,1.018,-0.678,1.073,-65.002,97.229,-71.899,0,0
260,1.063,-0.589,1.1,-67.932,82.886,-92.041,0,0
261,1.108,-0.502,1.102,-72.632,73.792,-98.389,0,0
262,1.165,-0.354,1.094,-83.252,60.913,-101.807,0,0
263,1.163,-0.313,1.08,-98.206,50.049,-101.44,0,0
264,1.152,-0.28,1.042,-109.314,44.067,-100.769,0,0
265,1.16,-0.247,1.04,-113.708,38.391,-111.145,0,0
266,1.134,-0.249,1.04,-110.474,32.959,-120.178,0,0
267,1.085,-0.191,1.033,-102.417,27.161,-133.057,0,0
268,1.043,-0.147,1.018,-95.398,23.56,-142.822,0,0
269,0.972,0.01,0.977,-95.337,24.719,-152.649,0,0
